noliste,nosta
19,61
19,171
19,60
25,120
25,117
25,131
25,82
25,85
25,86
25,119
25,118
25,84
25,18
25,17
25,130
25,88
25,16
25,19
25,83
25,175
25,121
25,122
25,123
25,87
25,184
26,93
26,14
26,180
26,13
26,12
26,11
26,92
26,128
26,127
26,125
26,129
26,90
26,89
26,91
26,15
26,124
26,126
26,10
26,94
26,185
29,153
29,172
29,187
29,152
29,56
29,35
29,154
29,49
29,149
29,164
29,51
29,40
29,44
29,150
29,41
29,53
29,165
29,46
29,47
29,45
29,161
29,37
29,52
29,59
29,160
29,39
29,38
29,54
29,58
29,42
29,163
29,55
29,57
29,157
29,36
29,155
29,156
29,34
29,170
29,48
29,50
29,189
40,104
40,69
40,79
40,116
40,108
40,134
40,65
40,106
40,96
40,72
40,70
40,105
40,1
40,81
40,66
40,64
40,97
40,103
40,74
40,178
40,95
40,73
40,3
40,183
40,0
40,62
40,2
40,63
40,71
40,102
40,4
40,68
40,176
40,80
40,107
41,114
41,8
41,7
41,77
41,109
41,113
41,9
41,76
41,78
41,111
41,110
41,5
41,6
41,75
42,142
42,135
42,22
42,99
42,98
42,141
42,100
42,137
42,101
42,140
42,20
42,138
42,21
46,31
46,26
46,23
46,33
46,30
46,29
46,148
46,28
46,144
46,146
46,147
46,145
46,174
46,32
46,27
46,186
46,143
46,179
46,181
48,104
48,93
48,153
48,31
48,120
48,172
48,117
48,114
48,26
48,23
48,14
48,180
48,187
48,142
48,69
48,152
48,56
48,35
48,8
48,79
48,116
48,108
48,134
48,7
48,154
48,65
48,106
48,61
48,96
48,131
48,77
48,13
48,72
48,70
48,105
48,1
48,82
48,12
48,11
48,33
48,30
48,85
48,86
48,119
48,118
48,84
48,49
48,18
48,17
48,29
48,81
48,66
48,92
48,128
48,130
48,149
48,127
48,125
48,88
48,64
48,135
48,164
48,97
48,16
48,103
48,74
48,22
48,51
48,40
48,44
48,148
48,178
48,19
48,109
48,150
48,184
48,99
48,28
48,129
48,98
48,41
48,90
48,141
48,100
48,144
48,83
48,175
48,146
48,147
48,145
48,174
48,53
48,95
48,165
48,46
48,47
48,45
48,89
48,136
48,137
48,73
48,3
48,183
48,0
48,32
48,113
48,9
48,161
48,62
48,101
48,37
48,52
48,91
48,59
48,76
48,160
48,2
48,185
48,15
48,39
48,38
48,121
48,140
48,25
48,54
48,27
48,189
48,58
48,20
48,138
48,21
48,42
48,78
48,63
48,71
48,186
48,124
48,102
48,4
48,126
48,163
48,55
48,57
48,10
48,143
48,179
48,157
48,68
48,181
48,36
48,188
48,155
48,156
48,122
48,111
48,60
48,34
48,176
48,80
48,170
48,123
48,107
48,87
48,94
48,48
48,110
48,50
48,5
48,6
48,75
49,104
49,93
49,153
49,31
49,120
49,172
49,117
49,114
49,26
49,23
49,14
49,112
49,173
49,133
49,180
49,187
49,142
49,69
49,152
49,56
49,35
49,8
49,79
49,116
49,108
49,158
49,134
49,7
49,154
49,65
49,106
49,61
49,43
49,96
49,131
49,77
49,13
49,72
49,70
49,105
49,1
49,82
49,12
49,11
49,33
49,30
49,85
49,86
49,119
49,118
49,84
49,49
49,139
49,18
49,17
49,29
49,81
49,66
49,159
49,92
49,128
49,130
49,149
49,127
49,125
49,115
49,88
49,64
49,135
49,164
49,97
49,16
49,103
49,74
49,22
49,51
49,40
49,44
49,148
49,132
49,178
49,19
49,109
49,150
49,184
49,99
49,28
49,129
49,98
49,41
49,151
49,90
49,141
49,100
49,144
49,83
49,175
49,146
49,147
49,145
49,174
49,53
49,95
49,165
49,46
49,47
49,45
49,89
49,136
49,137
49,73
49,3
49,183
49,0
49,32
49,113
49,9
49,161
49,62
49,101
49,37
49,52
49,91
49,59
49,76
49,160
49,2
49,185
49,15
49,39
49,38
49,121
49,140
49,25
49,54
49,27
49,189
49,169
49,167
49,168
49,58
49,20
49,138
49,21
49,42
49,78
49,63
49,71
49,186
49,124
49,102
49,4
49,126
49,163
49,55
49,57
49,10
49,143
49,179
49,157
49,68
49,181
49,36
49,24
49,188
49,155
49,156
49,122
49,111
49,60
49,177
49,34
49,182
49,176
49,80
49,170
49,166
49,123
49,107
49,87
49,67
49,94
49,48
49,110
49,50
49,5
49,6
49,75
50,112
50,173
50,133
50,158
50,43
50,139
50,159
50,115
50,132
50,151
50,25
50,169
50,167
50,168
50,24
50,177
50,182
50,166
50,67
